,0
151,173461.53
152,165660.77
153,122774.11
154,72387.49
155,72387.49
156,85270.79
157,128371.4
158,132422.34
159,209461.14
160,137522.78
161,138032.47
162,273094.3
163,198191.5
164,126114.26
165,168009.12
166,177868.28
167,263080.2
168,179970.42
169,346536.7
170,228122.25
171,261047.56
172,159568.77
173,177362.48
174,172240.39
175,165614.16
176,181557.1
177,209232.36
178,185071.61
179,250939.27
180,190189.45
181,210313.05
182,245069.94
183,229840.84
184,168535.97
185,153778.83
186,174825.17
187,145044.53
188,128856.88
189,116236.2
190,125579.586
191,97107.03
192,97763.99
193,164731.4
194,165924.8
195,156513.94
196,164931.53
197,156627.12
198,143953.27
199,144517.23
200,458519.94
201,404615.0
202,419618.22
203,451700.6
204,349923.4
205,285804.3
206,340720.66
207,360902.06
208,279374.66
209,369664.3
210,236190.64
211,446410.88
212,308306.34
213,259129.72
214,171777.8
215,172874.44
216,206791.36
217,434474.53
218,345695.3
219,358180.94
220,270942.44
221,272422.66
222,189305.12
223,180133.03
224,169956.5
225,182878.83
226,159224.92
227,195184.34
228,194668.67
229,188510.08
230,171089.48
231,256547.86
232,159224.92
233,172695.5
234,166883.48
235,269392.16
236,167413.52
237,370511.0
238,349520.16
239,239973.05
240,280474.5
241,312639.28
242,296361.88
243,281396.97
244,223601.83
245,426305.53
246,221592.36
247,210289.78
248,305034.03
249,230320.95
250,234877.95
251,315828.1
252,242348.8
253,217361.48
254,200263.4
255,188803.9
256,181712.64
257,136158.66
258,204980.64
259,253593.31
260,183146.03
261,125162.664
262,155360.38
263,229853.33
264,228612.28
265,175549.11
266,169357.69
267,193272.58
268,151420.98
269,156968.05
270,129572.086
271,126712.11
272,119614.45
273,127210.695
274,129812.164
275,121520.24
276,293895.53
277,207649.83
278,304922.34
279,229401.78
280,183738.92
281,171777.12
282,180447.5
283,275456.25
284,215585.66
285,217492.73
286,207949.27
287,212420.69
288,146955.95
289,145428.9
290,216707.03
291,118805.0
292,164773.83
293,222681.86
294,155787.08
295,116094.29
296,118130.74
297,130658.59
298,153316.39
299,161083.53
300,146321.75
301,164948.34
302,169111.4
303,121507.96
304,177281.98
305,164057.72
306,194892.12
307,134780.56
308,177481.78
309,139471.48
310,136590.19
311,138028.11
312,129707.71
313,168486.16
314,132764.28
315,115599.46
316,103117.84
317,129042.81
318,110328.17
319,182046.89
320,129676.055
321,95780.48
322,140306.75
323,90423.125
324,109310.71
325,154344.34
326,180213.28
327,50273.55
328,96750.766
329,69565.46
330,220944.1
331,148359.19
332,142535.28
333,146815.16
334,139818.92
335,114299.44
336,133221.89
337,126564.28
338,90585.65
339,111289.82
340,131554.08
341,165684.45
342,165218.19
343,134602.02
344,132403.55
345,130223.21
346,134489.98
347,119293.09
348,109910.625
349,141718.92
350,91898.85
351,97961.75
352,126412.53
353,85584.12
354,58368.81
355,88569.72
356,116627.945
357,127724.07
358,116026.664
359,65336.992
360,123246.53
361,155507.56
362,53295.895
363,137570.66
364,124347.445
365,98363.266
366,114771.52
367,136732.5
368,120998.47
369,149297.52
370,180113.62
371,131046.82
372,154382.62
373,128600.42
374,148717.72
375,149917.3
376,79825.07
377,121090.82
378,91390.02
379,134997.44
380,140894.31
381,97956.984
382,133078.64
383,122508.85
384,128448.18
385,150585.45
386,154706.14
387,52887.492
388,107850.57
389,128405.31
390,142814.62
391,127939.12
392,134261.89
393,172264.52
394,138347.7
395,218887.95
396,125843.82
397,155098.64
398,131758.98
399,151608.11
400,130843.766
401,308743.3
402,308743.3
403,308743.3
404,335556.94
405,349264.25
406,263512.06
407,294262.34
408,192553.97
409,238648.19
410,253549.81
411,164031.77
412,220421.33
413,138643.56
414,206178.56
415,180227.02
416,202439.02
417,216192.61
418,125306.23
419,132360.36
420,234825.1
421,263715.44
422,201185.12
423,212109.36
424,237605.81
425,279622.78
426,199992.02
427,257099.69
428,151428.22
429,120862.15
430,139213.02
431,109440.57
432,123500.914
433,132737.94
434,151848.31
435,118821.555
436,119705.414
437,99243.24
438,131707.72
439,119628.15
440,142733.47
441,134581.6
442,217807.83
443,132077.03
444,173285.44
445,151316.9
446,181601.23
447,114935.375
448,132387.75
449,128171.766
450,177678.22
451,300211.84
452,146573.98
453,65414.055
454,264198.28
455,59709.29
456,284646.9
457,131827.23
458,150933.83
459,181851.16
460,434149.4
461,323193.22
462,199174.89
463,205879.89
464,219596.94
465,396156.8
466,126253.13
467,157663.12
468,115425.95
469,131792.53
470,140800.42
471,135332.61
472,156575.89
473,177555.92
474,165240.27
475,176398.61
476,176708.1
477,163568.28
478,257767.45
479,205301.11
480,176783.25
481,172101.45
482,208692.89
483,315507.78
484,333042.78
485,153489.62
486,291391.0
487,162618.1
488,218005.88
489,181737.25
490,245491.69
491,213446.81
492,157850.75
493,213099.02
494,134074.56
495,283650.5
496,169274.69
497,310085.3
498,158937.44
499,112190.06
500,127662.7
501,97107.03
502,97820.98
503,112806.97
504,155994.61
505,166303.73
506,261572.89
507,380247.4
508,366207.03
509,452309.72
510,442493.53
511,365058.78
512,266028.75
513,301879.62
514,406339.25
515,255877.36
516,350290.66
517,387815.56
518,381779.75
519,190441.56
520,360949.56
521,216669.0
522,216669.0
523,191585.55
524,209487.12
525,221944.69
526,191045.67
527,171931.03
528,195653.61
529,219298.73
530,206791.36
531,207359.92
532,176819.17
533,240065.06
534,196344.45
535,276535.4
536,350293.03
537,359347.66
538,238863.14
539,312045.3
540,254078.94
541,226725.5
542,285782.25
543,254934.5
544,229371.58
545,232020.47
546,271444.44
547,199343.83
548,178446.97
549,195420.14
550,135699.9
551,184791.02
552,176505.12
553,178225.19
554,197479.27
555,180591.61
556,195939.48
557,124138.2
558,128740.055
559,120311.64
560,118138.85
561,167751.34
562,153385.56
563,211279.0
564,410853.1
565,184591.61
566,143684.72
567,174860.55
568,174297.95
569,275053.56
570,231489.8
571,247574.78
572,264557.56
573,170702.9
574,204728.84
575,215977.27
576,215977.27
577,306924.9
578,207226.67
579,311271.34
580,255863.23
581,206215.72
582,164075.4
583,177076.7
584,197379.86
585,162430.7
586,145171.3
587,138533.33
588,156432.31
589,180829.25
590,101991.83
591,141628.67
592,143106.39
593,66536.19
594,160539.88
595,127198.695
596,122381.445
597,207619.72
598,136175.16
599,159148.88
600,170525.22
601,132960.67
602,105681.875
603,141110.55
604,122660.36
605,161654.17
606,129819.59
607,164985.0
608,84358.32
609,110255.29
610,93552.19
611,136241.52
612,128497.67
613,189188.34
614,147169.56
615,118580.32
616,138037.2
617,128356.59
618,135183.36
619,125432.96
620,131272.72
621,137274.22
622,151396.73
623,111386.984
624,134771.83
625,135664.7
626,140230.1
627,114454.43
628,90445.29
629,135813.31
630,108059.05
631,141804.08
632,127410.44
633,117278.875
634,145391.31
635,81446.07
636,87810.59
637,143890.12
638,48809.63
639,100174.54
640,138008.77
641,141064.12
642,98953.195
643,159337.48
644,116070.484
645,76236.62
646,207123.73
647,123228.43
648,124788.54
649,116962.88
650,160365.73
651,140443.3
652,125388.59
653,116896.42
654,153956.67
655,119381.18
656,157264.73
657,127879.23
658,101219.555
659,101597.8
660,83107.984
661,82724.79
662,98040.92
663,204991.23
664,157941.84
665,161438.17
666,149630.9
667,127229.516
668,105312.73
669,141877.67
670,190692.73
671,124442.234
672,125715.83
673,118872.09
674,93939.92
675,71363.164
676,128770.89
677,132952.56
678,146541.28
679,133124.2
680,122846.14
681,130237.734
682,144193.45
683,113891.73
684,131690.39
685,141945.73
686,153596.2
687,120698.82
688,134317.97
689,200302.77
690,107343.77
691,144643.12
692,151484.53
693,112559.48
694,133641.44
695,235579.88
696,219990.4
697,227001.56
698,221289.95
699,166978.2
700,258957.3
701,466035.53
702,354024.9
703,250521.55
704,174987.14
705,144315.73
706,206830.62
707,183573.77
708,197408.27
709,212615.45
710,140177.28
711,141865.62
712,166384.17
713,250669.95
714,313518.28
715,279385.28
716,254774.56
717,226835.12
718,145285.14
719,234894.55
720,200534.98
721,229311.66
722,195541.12
723,132742.25
724,115346.39
725,154129.16
726,149735.12
727,152555.05
728,205920.34
729,85156.93
730,85156.93
731,90050.16
732,93349.97
733,99387.49
734,106508.1
735,101751.29
736,120092.81
737,164868.62
738,157390.77
739,108287.445
740,130821.93
741,184176.81
742,147370.67
743,174249.1
744,121245.32
745,130694.6
746,202614.2
747,219850.3
748,168138.16
749,114935.375
750,116765.28
751,126654.23
752,98107.13
753,137147.92
754,101693.28
755,165601.69
756,69492.125
757,79303.484
758,83646.305
759,58200.332
760,264183.16
761,226178.03
762,304575.3
763,220978.67
764,141154.97
765,170947.44
766,202938.52
767,254277.95
768,229014.22
769,142387.06
770,218929.69
771,185225.92
772,165587.31
773,222769.58
774,199746.33
775,261636.23
776,337207.47
777,203094.95
778,125626.3
779,165442.23
780,143043.75
781,138570.33
782,125336.83
783,97755.97
784,84605.266
785,136522.6
786,101875.766
787,123857.83
788,129479.57
789,134186.75
790,109554.195
791,174199.9
792,145991.28
793,162669.14
794,176652.83
795,192039.39
796,208820.31
797,183815.0
798,177215.06
799,151658.58
800,202523.98
801,208606.14
802,317532.94
803,440875.25
804,165587.95
805,270761.62
806,341096.8
807,383406.3
808,161730.97
809,183679.89
810,215605.39
811,196123.44
812,159903.61
813,167854.27
814,164083.7
815,180913.44
816,182374.8
817,153156.36
818,129501.18
819,110472.32
820,171640.89
821,173211.1
822,99923.32
823,125118.516
824,157196.81
825,124259.62
826,330456.4
827,280569.75
828,375222.94
829,463205.97
830,312263.8
831,401746.62
832,450340.97
833,447330.94
834,421802.5
835,316359.88
836,268188.62
837,329853.12
838,426735.1
839,315727.8
840,243314.72
841,231824.52
842,263073.4
843,279596.66
844,172255.66
845,172255.66
846,171820.55
847,245613.92
848,269359.78
849,215920.42
850,189305.12
851,178167.92
852,172744.75
853,174791.5
854,172559.19
855,177272.86
856,169953.73
857,172927.38
858,181851.67
859,186904.19
860,248649.97
861,185559.02
862,170034.8
863,158898.33
864,214178.84
865,159759.4
866,216524.81
867,221485.88
868,177273.2
869,177089.34
870,373567.97
871,423450.53
872,319934.6
873,258825.45
874,270455.03
875,332511.22
876,195609.2
877,255897.14
878,239402.72
879,386801.28
880,216740.72
881,239468.02
882,217258.5
883,228654.56
884,278025.5
885,216885.25
886,193763.5
887,228221.47
888,170062.86
889,248284.83
890,245516.75
891,274280.56
892,246711.44
893,129295.72
894,150063.34
895,153477.9
896,213167.9
897,186666.56
898,126552.57
899,125430.805
900,136858.14
901,250435.3
902,138219.12
903,153624.48
904,213961.2
905,204537.19
906,242670.05
907,191364.97
908,242291.95
909,172590.12
910,174342.67
911,194331.45
912,263050.56
913,308287.53
914,239773.33
915,255232.27
916,298566.4
917,143925.14
918,185722.25
919,140899.28
920,155558.3
921,200536.52
922,216656.8
923,241139.36
924,148873.81
925,136526.89
926,134346.81
927,106304.63
928,130969.1
929,135726.44
930,130306.67
931,120745.8
932,174329.05
933,141976.34
934,198005.8
935,146527.58
936,190083.58
937,127173.48
938,63408.734
939,49332.875
940,126052.09
941,131378.44
942,165160.69
943,137898.38
944,154230.89
945,136055.86
946,124126.26
947,138948.55
948,134866.2
949,174988.98
950,120157.414
951,142159.25
952,135609.33
953,134939.66
954,160361.3
955,125647.984
956,128775.42
957,129122.22
958,140106.98
959,120316.586
960,142403.77
961,113023.19
962,99482.13
963,165153.45
964,213845.94
965,130275.99
966,114238.414
967,180803.39
968,119150.28
969,130591.95
970,121906.195
971,136064.81
972,135297.38
973,137669.75
974,139900.03
975,99241.63
976,118569.46
977,122011.22
978,116994.12
979,127309.74
980,110801.4
981,102575.74
982,119106.09
983,119204.62
984,82121.58
985,114361.25
986,201027.47
987,138826.02
988,89637.086
989,148015.64
990,121823.67
991,168694.36
992,91456.73
993,111855.46
994,113495.42
995,127845.08
996,129399.586
997,102404.4
998,108847.484
999,135127.28
1000,118257.1
1001,129311.26
1002,117853.7
1003,191307.28
1004,128338.11
1005,119952.37
1006,149921.16
1007,87912.9
1008,93582.25
1009,186590.38
1010,203070.72
1011,172778.86
1012,123350.36
1013,99676.53
1014,218941.17
1015,121920.61
1016,124772.96
1017,161038.23
1018,121283.13
1019,139997.06
1020,127903.0
1021,131699.44
1022,121434.51
1023,129575.92
1024,121799.984
1025,149390.67
1026,197636.22
1027,151937.69
1028,153713.44
1029,145896.48
1030,91417.57
1031,180484.5
1032,133063.67
1033,154019.69
1034,95939.01
1035,250163.64
1036,146818.53
1037,117952.31
1038,101114.78
1039,133781.56
1040,131878.92
1041,148496.06
1042,96070.84
1043,192523.12
1044,216048.77
1045,272373.56
1046,364875.34
1047,272373.56
1048,227171.33
1049,244117.05
1050,186468.52
1051,203409.55
1052,208663.64
1053,219430.75
1054,148760.0
1055,150721.1
1056,137026.61
1057,144752.56
1058,210199.75
1059,202334.8
1060,196949.45
1061,207216.02
1062,131668.55
1063,136139.19
1064,137033.4
1065,141443.33
1066,125388.945
1067,130306.32
1068,136535.11
1069,113306.484
1070,228976.0
1071,216471.14
1072,199983.83
1073,243960.66
1074,315251.53
1075,226549.11
1076,212174.92
1077,188407.98
1078,186659.08
1079,172105.75
1080,188784.44
1081,163544.88
1082,122231.92
1083,128776.65
1084,122972.86
1085,153879.19
1086,141761.89
1087,151427.34
1088,148720.42
1089,574122.0
1090,139213.02
1091,132898.67
1092,85156.93
1093,108745.29
1094,107388.61
1095,101569.02
1096,112846.13
1097,151845.86
1098,129591.37
1099,125663.21
1100,120051.69
1101,117909.24
1102,134608.05
1103,174289.31
1104,110144.09
1105,136764.58
1106,125848.15
1107,174194.77
1108,172306.1
1109,114316.555
1110,182333.39
1111,185350.5
1112,205372.39
1113,250013.17
1114,131032.33
1115,127163.29
1116,141484.2
1117,95030.77
1118,59306.31
1119,117393.9
1120,132782.75
1121,113468.37
1122,244558.86
1123,150161.25
1124,171474.81
1125,192861.98
1126,201637.66
1127,147401.88
1128,142099.06
1129,209121.25
1130,204517.11
1131,228745.31
1132,254468.61
1133,182967.45
1134,209862.84
1135,314852.25
1136,192316.5
1137,264119.66
1138,351673.1
1139,132697.94
1140,149239.0
1141,84656.59
1142,83973.84
1143,72387.49
1144,89780.82
1145,137299.73
1146,160060.9
1147,185107.98
1148,145911.53
1149,104826.86
1150,150170.12
1151,151963.92
1152,123857.83
1153,127040.25
1154,150517.53
1155,130894.555
1156,168079.16
1157,155446.33
1158,217727.05
1159,173860.84
1160,177886.27
1161,181439.56
1162,260301.75
1163,301277.34
1164,366602.94
1165,165928.28
1166,203845.12
1167,395229.66
1168,463171.06
1169,333979.8
1170,454003.75
1171,390298.88
1172,281391.88
1173,364352.38
1174,147296.9
1175,194182.84
1176,167338.64
1177,235121.11
1178,182312.02
1179,152520.72
1180,117625.43
1181,184182.27
1182,108700.805
1183,137077.58
1184,98923.57
1185,96576.55
1186,99923.32
1187,147958.89
1188,134580.97
1189,156809.16
1190,156437.08
1191,435253.34
1192,259914.3
1193,256211.67
1194,355317.66
1195,309816.34
1196,329024.97
1197,280421.28
1198,293855.44
1199,344624.2
1200,326512.72
1201,309738.66
1202,280320.75
1203,269109.44
1204,303611.34
1205,284538.06
1206,163768.22
1207,190042.4
1208,171577.56
1209,285526.2
1210,190042.4
1211,189070.39
1212,206883.3
1213,207556.6
1214,181595.19
1215,194668.67
1216,185511.08
1217,258335.44
1218,269539.66
1219,292952.2
1220,406321.4
1221,343681.56
1222,537194.56
1223,320727.97
1224,348208.66
1225,268449.9
1226,279030.62
1227,238040.84
1228,211655.72
1229,456469.28
1230,179718.47
1231,133172.1
1232,194465.66
1233,129387.484
1234,196657.42
1235,194368.7
1236,192997.78
1237,178440.83
1238,169621.97
1239,163839.0
1240,151455.5
1241,132492.7
1242,139072.36
1243,147004.86
1244,123839.63
1245,121924.445
1246,127888.37
1247,127858.25
1248,108007.02
1249,122754.2
1250,253314.64
1251,366333.47
1252,183952.83
1253,154295.78
1254,171940.53
1255,141791.11
1256,177062.5
1257,245574.6
1258,145171.3
1259,175014.69
1260,136917.42
1261,155676.14
1262,144624.23
1263,121582.02
1264,129735.92
1265,139586.7
1266,175448.84
1267,160308.55
1268,140279.05
1269,138059.06
1270,108526.78
1271,112749.22
1272,160653.2
1273,147227.11
1274,125788.62
1275,139934.17
1276,123302.73
1277,162014.72
1278,154719.86
1279,139568.34
1280,137732.66
1281,153033.88
1282,134083.02
1283,150004.1
1284,141891.34
1285,125884.984
1286,134452.05
1287,117738.89
1288,123779.3
1289,128620.05
1290,119938.86
1291,227893.28
1292,152523.2
1293,212067.7
1294,134976.73
1295,77488.3
1296,70976.97
1297,63874.43
1298,140779.88
1299,123097.58
1300,140447.45
1301,149030.64
1302,186076.3
1303,150125.31
1304,297444.38
1305,125085.7
1306,89880.36
1307,136691.19
1308,136163.98
1309,160264.53
1310,118188.0
1311,108949.88
1312,137499.56
1313,147399.78
1314,118153.625
1315,134118.83
1316,144638.16
1317,94705.43
1318,112584.055
1319,113182.4
1320,98316.47
1321,88577.16
1322,84532.836
1323,128995.195
1324,137727.27
1325,57024.15
1326,123167.805
1327,79558.836
1328,204578.16
1329,77744.11
1330,128194.0
1331,69959.73
1332,165752.73
1333,92117.0
1334,121093.13
1335,96669.89
1336,211265.3
1337,106299.164
1338,113376.414
1339,78152.36
1340,111722.83
1341,129041.46
1342,194626.89
1343,127150.664
1344,94685.195
1345,103920.75
1346,160581.22
1347,137993.11
1348,127729.92
1349,130663.945
1350,154375.84
1351,145149.44
1352,184252.53
1353,184262.72
1354,101767.79
1355,219730.4
1356,132359.34
1357,123832.07
1358,159974.1
1359,123386.48
1360,116280.555
1361,166106.39
1362,267744.22
1363,160511.23
1364,140834.81
1365,137618.42
1366,147574.45
1367,201300.08
1368,193908.05
1369,249578.64
1370,188664.94
1371,220509.84
1372,256532.19
1373,211135.38
1374,219445.8
1375,198234.6
1376,156256.22
1377,153485.36
1378,174415.34
1379,203468.72
1380,200904.83
1381,203919.19
1382,135181.42
1383,153197.42
1384,120249.125
1385,203562.25
1386,182301.77
1387,211723.95
1388,209843.44
1389,281739.03
1390,238175.27
1391,235102.72
1392,225474.88
1393,145358.47
1394,191831.1
1395,201971.2
1396,197593.05
1397,190229.92
1398,121642.22
1399,117627.56
1400,137376.75
1401,201973.7
1402,126202.56
1403,252309.72
1404,139213.02
1405,183981.61
1406,80807.086
1407,128619.18
1408,128524.16
1409,137188.75
1410,91514.05
1411,56668.184
1412,96192.14
1413,139803.33
1414,129944.56
1415,155777.27
1416,129790.75
1417,151635.88
1418,129038.266
1419,119040.79
1420,136550.72
1421,141659.86
1422,170322.55
1423,179995.67
1424,155556.06
1425,171000.58
1426,109939.35
1427,125846.7
1428,64093.613
1429,67037.125
1430,149921.0
1431,58936.883
1432,104481.23
1433,51238.91
1434,256809.53
1435,253818.1
1436,180612.8
1437,179239.55
1438,235569.1
1439,156787.92
1440,171408.44
1441,171353.38
1442,319851.9
1443,333084.1
1444,95970.94
1445,202326.69
1446,109592.016
1447,128258.695
1448,171481.53
1449,77099.53
1450,84656.59
1451,141206.14
1452,85037.47
1453,72387.49
1454,72387.49
1455,85131.02
1456,156667.6
1457,115638.38
1458,232363.92
